id,section,code,district_id,region_id
1580,Substations,CC573165,,8
1581,Chertsey 330kV S/s,573165,,8
1582,Chertsey 132kV S/s,573166,,8
1583,Shurugwi 132kV S/s,573167,,8
1584,Unki 132kV S/s,573168,,8
1585,Gweru Local 132kV S/s,573169,,8
1586,Mvuma 88kV S/s,573170,,8
1587,Shangani 132kV S/s,573171,,8
1588,Lalapansi 88kV S/s,573172,,8
1589,Ascot 88kV S/s,573173,,8
1590,Gweru City 132kV S/s,573174,,8
1591,Sino 88kV S/s,573175,,8
1592,Lines,CC573175,,8
1593,Chertsey-Shangani Line,573176,,8
1594,Chertsey-Gweru 1,573177,,8
1595,Chertsey-Gweru 3,573178,,8
1596,Gweru-Ascot Line,573179,,8
1597,Gweru-Shurugwi (GS1) Line,573180,,8
1598,Shurugwi-Unki Line,573181,,8
1599,Lalapansi-Sino Line,573182,,8
1600,Lalapansi-Mvuma Line,573183,,8
1601,M1: 1-280 Line,573184,,8
1602,M2: 1-278 Line,573185,,8
1603,Sherwood,CC573200,,8
1604,Substations,CC573205,,8
1605,Sherwood 330kV S/s,573205,,8
1606,Sherwood 88kV S/s,573206,,8
1607,Battlefields 88kV S/s,573207,,8
1608,Zimasco East 88kV S/s,573208,,8
1609,Zimasco West 88kV S/s,573209,,8
1610,Munyati 88kV S/s,573211,,8
1611,Sables 88kV S/s,573212,,8
1612,Kwekwe 88kV S/s,573213,,8
1613,Gado 88kV S/s,573214,,8
1614,Shamwari 88kV S/s,573215,,8
1615,Lines,CC573220,,8
1616,Sherwood-Kwekwe Line,574220,,8
1617,Battlefields-Kadoma Line,574221,,8
1618,F1:1-182 Line,574222,,8
1619,F2:1-47 Line,574223,,8
1620,F3:47-182 Line,574224,,8
1621,C1:272-357 Line,574225,,8
1622,E1:226-318 Line,574226,,8
1623,UM1:1-54 Line,574227,,8
1624,UM2:1-36 Line,574228,,8
1625,Shwd-Zimasco(RH1) Line,574229,,8
1626,Shwd-Zimasco 3 (RH3) Line,574230,,8
1627,Zimasco(RH4)Line,574231,,8
1628,Kwekwe-Hunters Rd GW Line,574232,,8
1629,Sherwood-Lalapansi Line,574233,,8
1630,Zisco-Ripple Creek Line,574234,,8
1631,Sherwood-Sables1(SA1) Line,574235,,8
1632,Sherwood-Sables2 (SA2) Line,574236,,8
1633,Sherwood-Zisco(RS1) Line,574237,,8
1634,Sherwood-Zisco2(RS2) Line,574238,,8
1635,NRZ(North) Line,574239,,8
1636,NRZ(South) Line,574240,,8
1637,Munyati-Kadoma Line,574241,,8
1638,Munyati-Battlefields Line,574242,,8
1639,Haven-Zimasco (RH5 ) Line,574243,,8
1640,Haven-Zisco Line,574244,,8
