"name","type","classification","code","depot_name","district_name","region_name"
"TORPHIN","DISTRIBUTION","PRIMARY","H45","KADOMA DEPOT","KADOMA DISTRICT ","NORTHERN REGION"
"MACHEKE_EAST_33KV_S.S","DISTRIBUTION","PRIMARY","M114","MARONDERA DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"CHRISTON_BANK_33KV_S.S","DISTRIBUTION","PRIMARY","M69","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"MACHEKE_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M4","MARONDERA DEPOT","MARONDERA DISTRICT ","NORTHERN REGION"
"GLENDALE_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M24","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"CONCESSION_NORTH_33KV_S.S","DISTRIBUTION","PRIMARY","M72","CONCESSION DEPOT","BINDURA  DISTRICT ","NORTHERN REGION"
"TRIANGLE TOWN 33/11","SUBSTATION","PRIMARY","T12","CHIREDZI  DEPOT","MASVINGO DISTRICT ","EASTERN REGION"
"NYAZURA 33/11","SUBSTATION","PRIMARY","U47","RUSAPE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"WANGANELLA 33/11","SUBSTATION","PRIMARY","U69","CHIMANIMANI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"CHARTER 33/11","SUBSTATION","PRIMARY","U21","CHIMANIMANI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"MUTEMA 33/11","SUBSTATION","PRIMARY","U56","MIDDLE SABI  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
"POWER STATION ","SUBSTATION","PRIMARY","POW33","NKETA DEPOT","BYO EAST DISTRICT ","WESTERN REGION"
"KAMATIVI","SUBSTATION","PRIMARY","W2","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"GANDA PAN","SUBSTATION","PRIMARY","W7","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"HWANGE LOCAL","SUBSTATION","PRIMARY","W3","HWANGE DEPOT","GWANDA DISTRICT","WESTERN REGION"
"RATELSHOEK 33/11","SUBSTATION","PRIMARY","U18","CHIPINGE  DEPOT","MANICALAND DISTRICT ","EASTERN REGION"
