budget_id,section_code,section,budget,allocated,withdrawn,balance,awaiting_sanctioning,period,region
912,524701,District Office,District Office -Motor  vehicle,96149.06679,0,96149.06679,0,2024,HARARE REGION
913,524701,District Office,District Office- computers,77773.05715,28837.51636,48935.54079,0,2024,HARARE REGION
914,524701,District Office,District Office -office &furniture,82484.36142,19089.74188,63394.61954,0,2024,HARARE REGION
915,524501,Warren Park,Warren Park -T&E,164074.9596,68915.16879,95159.79078,0,2024,HARARE REGION
916,524501,Warren Park,Warren Park -computers,77773.05715,60550.90034,17222.15681,0,2024,HARARE REGION
917,524501,Warren Park,Warren Park -office &equipment,82484.36142,47250.88587,35233.47555,13513.68751,2024,HARARE REGION
918,524501,Warren Park,Warren Park-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
919,524501,Warren Park,Warren Park-Category 1,3500026.133,0,3500026.133,0,2024,HARARE REGION
920,524501,Warren Park,Warren Park-Category 2,2303447.495,0,2303447.495,0,2024,HARARE REGION
921,524501,Warren Park,Warren Park-Major Distribution Maintenace Equipment,1580717.584,27461.36809,1553256.216,0,2024,HARARE REGION
922,524501,Kuwadzana,Kuwadzana-T&E,164074.9596,110769.9561,53305.00345,0,2024,HARARE REGION
923,524501,Kuwadzana,Kuwadzana -computers,77773.05715,63840.339,13932.71814,0,2024,HARARE REGION
924,524501,Kuwadzana,Kuwadzana-office &furniture equp,82484.36142,20136.49846,62347.86296,0,2024,HARARE REGION
925,524501,Kuwadzana,Kuwadzana-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
926,524501,Kuwadzana,Kuwadzana-Category 1,13024246.53,0,13024246.53,0,2024,HARARE REGION
927,524501,Kuwadzana,Kuwadzana-Category 2,4855030.434,0,4855030.434,0,2024,HARARE REGION
928,524501,Kuwadzana,Kuwadzana-Major Distribution Maintenace Equipment,1580717.584,40987.11655,1539730.467,0,2024,HARARE REGION
929,524501,Mabelreign,Mabelreign-T&E,164074.9596,130933.0994,33141.86019,0,2024,HARARE REGION
930,524501,Mabelreign,Mabelreign -computers,77773.05715,37704.36129,40068.69586,0,2024,HARARE REGION
931,524501,Mabelreign,Mabelreign -office &furniture equip,82484.36142,23668.96555,58815.39587,0,2024,HARARE REGION
932,524501,Mabelreign,Mabelreign-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
933,524501,Mabelreign,Mabelreign-Category 1,1152588.189,0,1152588.189,0,2024,HARARE REGION
934,524501,Mabelreign,Mabelreign-Category 2,1481075.823,0,1481075.823,0,2024,HARARE REGION
935,524501,Mabelreign,Mabelreign-Major Distribution Maintenace Equipment,1580717.584,52053.63801,1528663.946,0,2024,HARARE REGION
936,524501,District Office,District Office -Motor  vehicle,96149.06679,0,96149.06679,0,2024,HARARE REGION
937,524501,District Office,District Office- computers,77773.05715,69283.35668,8489.700464,0,2024,HARARE REGION
938,524501,District Office,District Office -office &furniture,82484.36142,37361.19897,45123.16245,130.2788839,2024,HARARE REGION
939,524601,Southerton,Southerton-T&E,164074.9596,28014.29626,136060.6633,0,2024,HARARE REGION
940,524601,Southerton,Southerton-computers,77773.05715,16648.49606,61124.56109,0,2024,HARARE REGION
941,524601,Southerton,Southerton-office &furniture equip,82484.36142,72617.05794,9867.303482,0,2024,HARARE REGION
942,524601,Southerton,Southerton-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
943,524601,Southerton,Southerton-Category 2,2574113.622,5802.961367,2568310.66,0,2024,HARARE REGION
944,524601,Southerton,Southerton-Major Distribution Maintenace Equipment,1981466.926,116059.2273,1865407.699,0,2024,HARARE REGION
945,524601,Glen View,Glen View-T&E,164074.9596,43622.26131,120452.6983,0,2024,HARARE REGION
946,524601,Glen View,Glen View-computer,77773.05715,74149.84015,3623.217,0,2024,HARARE REGION
947,524601,Glen View,Glen View -office &furniture equip,82484.36142,17608.98622,64875.3752,0,2024,HARARE REGION
948,524601,Glen View,Glen View-motor vehicles,692273.2809,0,692273.2809,0,2024,HARARE REGION
949,524601,Glen View,Glen View-Category 1,2074658.74,0,2074658.74,0,2024,HARARE REGION
950,524601,Glen View,Glen View-Category 2,11033150.44,0,11033150.44,0,2024,HARARE REGION
951,524601,Glen View,Glen View-Major Distribution Maintenace Equipment,1981466.926,0,1981466.926,0,2024,HARARE REGION
952,524601,Waterfalls,Waterfalls- T&E,164074.9596,72036.7618,92038.19778,0,2024,HARARE REGION
