"id","document_id","item_id","item","required_qty","unit_of_measurement","rfq_no"
"2986","TD23111486","Item231114996","METAL KIOSK","1","each","10257401"
"2987","TD2311141","Item231114327","J-KIT 240-300MM2 33KV XLPE","6","each","10257519"
"2988","TD23111592","Item231115701","SUPPLY AND SERVICE OF SANITARY BINS","28","each","10255965"
"2989","TD23111558","Item231115123","SUPPLY AND SERVICE OF SANITARY BINS","28","each","10255956"
"2990","TD23111555","Item231115270","PROVISION OF REFUSE COLLECTION ","1","each","10256093"
"2991","TD23111625","Item231116502","""XARM, STRAIN 100x50x 3200MM CHANNEL","30","each","10257647"
"2992","TD23111625","Item231116899","3.8MTRS  BOXED CROSS ARM","10","each","10257647"
"2993","TD23111659","Item231116627","METAL KIOSK","1","each","10258517"
"2994","TD23111612","Item231116285","CISCO CATALYST 1000 24 PORT GE,FULL POE, 4 X 10G SFP","2","each","10256224"
"2995","TD23111667","Item231116148","CISCO CATALYST 1000 24PORT GE FULL POE ,4X10G SFP ","2","each","10256224"
"2996","TD23111781","Item231117514"," FUSE LUCY POLE UNIT 400A 440V TYPE MCP","60","each","10258382"
"2997","TD23111783","Item231117804","ARRESTER INTERMEDIATE SURGE 11KV CLASS 2","60","each","10258384"
"2998","TD23111760","Item231117747","COME-ALONG 25-104MM2 SCA/HDA","4","each","10251569"
"2999","TD23111794","Item231117104","C-GEAR CONTACTS","20","each","10256268"
"3000","TD23111797","Item231117259","D FUSE MOUNT  C/W M.BRACKET & FUSE 11KV","60","each","10258383"
"3001","TD23111773","Item231117258","Gun Clamp 200mm","34","each","10257524"
"3002","TD23111773","Item231117244","Earth wire Suspension Clamp","60","each","10257524"
"3003","TD23111773","Item231117439","""STRAP, TWISTED SHACKLE  16MM BOLTS""","134","each","10257524"
"3004","TD23112087","Item231120597","J/KIT 120 -185mm2 11kv 3c xlpe","5","each","10258396 "
"3005","TD23112087","Item23112090","J/kit 120-185mm2 3C 11KV PILC","5","each","10258396 "
"3006","TD23112032","Item231120686","channel cross arm","30","each","10257649 "
"3007","TD23112032","Item231120127","x - arm earthwire 33kv 1730 x 100 x 5","10","each","10257649 "
"3008","TD23112169","Item231121586","J/KIT 120-185MM2 11KV 3C XLPE","8","each","10258916"
"3009","TD23112169","Item231121340","J/KIT  120 - 185MM2 3C 11KV  PILC","8","each","10258916"
"3010","TD23112236","Item231122687","BOREHOLE GEO SURVEY","1","each","10258667"
"3011","TD23112233","Item231122889","SUPPLY AND SERVICE OF SANITARY BINS","28","each","10255965"
"3012","TD23112275","Item231122390","WIRE GALV STAY45 TON 7/14 STRAIN","6200","each","10257515"
"3013","TD23112275","Item231122237","WIRE GALV STAY45 TON 7/12STRAIN","1100","each","10257515"
"3014","TD23112269","Item231122766","WIRE GALV STAY45 TON 7/14 STRAIN","6200","each","10257515"
"3015","TD23112269","Item231122965","WIRE GALV STAY45 TON 7/12 STRAIN","1100","each","10257515"
"3016","TD2311226","Item231122480","WIRE GALV STAY45 TON 7/14 STRAIN","6200","each","10257515"
"3017","TD2311226","Item231122312","WIRE GALV STAY45 TON 7/12 STRAIN","1100","each","10257515"
"3018","TD23112259","Item231122993","WIRE GALV STAY 45 TON 7/14 STRAIN","4100","each","10256983"
"3019","TD23112336","Item231123228","STAY RODS 3/4 (20MM)","88","each","10257518"
"3020","TD23112336","Item231123992","STAY BOW GALV 3/4 (2OMM)","88","each","10257518"
"3021","TD23112336","Item231123665","STAY WASHER 3/4","88","each","10257518"
"3022","TD23112480","Item231124332","BELT SAFETY LINESMAN TYPE 1 TO","5","each","10255757"
"3023","TD23112479","Item23112433","cable 185mm2 4c cu pvc/swa","50","each","10258872"
"3024","TD23112414","Item231124802","cable 185mm2 4c cu pvc/swa","130","each","10258641"
"3025","TD23112423","Item231124420","cable 185mm2 4c cu pvc/swa","45","each","10258642"
"3026","TD23112475","Item231124831","cable 185mm2 4c cu pvc/swa","50","each","10258641"
"3027","TD23112459","Item231124705","MCB 60AMP S/P","1000","each","10258681"
"3028","TD23112461","Item231124941","MCB 60AMP S/P","1000","each","10258681"
"3029","TD23112450","Item231124344","LUG CRIMPING 185MM X 12MM","500","each","10252549"
"3030","TD23112416","Item231124486","INSULATOR POLYMER STRING","100","each","102451184"
"3031","TD23112424","Item231124666","TERM KIT 120-185MM2 I/D XLPE","20","each","10258845"
"3032","TD23112477","Item231124385","TERM KIT 120-185MM2 O/D PILC","20","each","10258846"
"3033","TD23112467","Item231124480","TERM KIT 120-185MM2 O/D XLPE","20","each","10258848"
"3034","TD23112474","Item231124880","TERM KIT 120-185MM2 I/D PILC","20","each","10258849"
