"id","document_id","item_id","sup_id","unit_price","vat","quoted_qty","bid_no","quote_date","rfq_no","total","bid_document"
"191","TD21120948","Item211209769","SUP336","14250","excl","50","1","2021-12-07","10221040","712500","bids/Xerox Scan_09122021100057.PDF"
"192","TD21120948","Item211209769","SUP771","14250","excl","50","2","2021-12-07","10221040","712500","bids/Xerox Scan_09122021100155.PDF"
"193","TD21120984","Item211209644","SUP28","48000","excl","10","1","2021-12-07","10221729","480000","bids/Xerox Scan_09122021094033.PDF"
"194","TD21120984","Item211209644","SUP759","48500","excl","10","2","2021-12-07","10221729","485000","bids/Xerox Scan_09122021094148.PDF"
"195","TD21120984","Item211209644","SUP538","47700","excl","10","3","2021-12-07","10221729","477000","bids/Xerox Scan_09122021094202.PDF"
"202","TD2112137","Item21121311","SUP998","72160","excl","2","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"203","TD2112137","Item211213112","SUP998","20495","excl.","2","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"204","TD2112137","Item211213356","SUP998","36080","excl.","2","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"205","TD2112137","Item211213296","SUP998","15785","excl.","2","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"206","TD2112137","Item211213922","SUP998","36080","excl.","2","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"207","TD2112137","Item211213669","SUP998","40590","excl.","2","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"208","TD2112137","Item211213429","SUP998","54120","excl.","2","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"209","TD2112137","Item211213385","SUP998","171380","excl.","1","1","2021-12-06","10216732","722000","bids/Xerox Scan_09122021132547.PDF"
"210","TD2112137","Item21121311","SUP174","16500","excl","2","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"211","TD2112137","Item211213112","SUP174","19000","excl","2","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"212","TD2112137","Item211213356","SUP174","95000","excl","2","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"213","TD2112137","Item211213296","SUP174","53000","excl","2","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"214","TD2112137","Item211213922","SUP174","35000","excl","2","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"215","TD2112137","Item211213669","SUP174","40000","excl","2","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"216","TD2112137","Item211213429","SUP174","77000","excl","2","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"217","TD2112137","Item211213385","SUP174","150000","excl","1","2","2021-12-06","10216732","821000","bids/Xerox Scan_09122021132608.PDF"
"218","TD2112137","Item21121311","SUP775","19000","excl","2","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
"219","TD2112137","Item211213112","SUP775","25000","excl","2","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
"220","TD2112137","Item211213356","SUP775","115000","excl","2","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
"221","TD2112137","Item211213296","SUP775","64300","excl","2","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
"222","TD2112137","Item211213922","SUP775","41000","excl","2","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
"223","TD2112137","Item211213669","SUP775","47000","excl","2","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
"224","TD2112137","Item211213429","SUP775","90100","excl","2","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
"225","TD2112137","Item211213385","SUP775","170000","excl","1","3","2021-12-06","10216732","972800","bids/Xerox Scan_09122021132631.PDF"
