"supplier","id","sup_id"
"LADGEN INVESTMENTS","1952","SUP990"
"SE ELECTRICAL ENGINEERS","1955","SUP774"
"ELLYFIELD CORPORATION","1957","SUP233"
"ASHWILL INVESTMENTS","1962","SUP576"
"COMPUTRON ZIMBABWE","1963","SUP394"
"LINKVELD INVESTMENTS","1967","SUP906"
"CALK-HOPE INVESTMENTS","1968","SUP577"
"ROSEBANT INTERNATIONAL","1975","SUP573"
"TISCES INVESTMENTS","1978","SUP69"
"SKIHOLD INVESTMENTS","1979","SUP287"
"EL-ESHWARD PVT LTD","1980","SUP307"
"PROBLEM BUSTERS","1981","SUP385"
"TREMUL TECHNOLOGIES","2006","SUP242"
"dasher trading","2008","SUP636"
"SIMMUT ENGINEERING","2011","SUP352"
"ROYAL DOORS ENTERPRISES","2012","SUP582"
"test","2015","SUP462"
"vacancy","2016","SUP975"
"FRADEL UNFORGETTABLE","2019","SUP922"
"BURNISHFORD ENTERPRISES","2020","SUP160"
"SUPERBLOOM ENTERPRISES","2021","SUP691"
"KEENLAND ENTERPRISES","2028","SUP594"
"Power zine global","2038","SUP98"
"CAMUCHI ADVERTISING","2040","SUP238"
"JB  MEDIA ADVERTISING","2041","SUP741"
"CREATIONS ADVERTISING","2042","SUP983"
"ASKELAND MEDIA","2043","SUP784"
"FIRST PACK","2047","SUP138"
"FUSER TECHNOLOGIES","2048","SUP264"
"BLACKBELT HUMAN CAPITAL","2056","SUP718"
"GENCOSM","2061","SUP878"
"CURRENTWISH I","2068","SUP362"
"TOUCH TIGER","2087","SUP152"
"TECTURAL WM INVESTMENTS","2088","SUP101"
"TOUGH TIGER","2092","SUP2"
"UNELDA INVESTMENTS","2098","SUP768"
"REMEDIATOR","2100","SUP646"
"EDGEMU INVESTMENTS","2101","SUP568"
"ID MATTERS","2102","SUP434"
"AXIS SOLUTIONS","2104","SUP321"
"TECHYSPOT","2105","SUP26"
"ELITE COLLECTION","2106","SUP603"
"COMBINED TECHNOLOGY","2109","SUP25"
"Eshipel PVT (LTD)","2158","SUP100"
"POWER CENTRE ELECTRICAL","2172","SUP898"
"MARKETPLAN OFFICE MACHINES","2173","SUP12"
"CLEAN BOX","2177","SUP670"
"CLEAR DEAN PROPERTY CLEANERS","2178","SUP326"
"CLEANERS CLOSET","2179","SUP106"
"HYGIENIC SERVICES","2180","SUP664"
"APPLIANCE EXPERT","2189","SUP551"
"BRIDGE CLEANERS","2198","SUP158"
"CLAMISE ENTERPRISES","2203","SUP827"
"ELBERG TRADING","2252","SUP10"
"SUPPORT PRINTERS & PACKAGING","2253","SUP874"
"MEZTIN ENTERPRISES","2254","SUP412"
"DASWAVE INVESTMENTS","2298","SUP934"
"DASHER TRADING PVT","2299","SUP32"
"CRYSTAL SERENITY","2311","SUP716"
"FOSTER-TECH PVT LTD","2313","SUP475"
"DELUX COMPUTERS","2314","SUP4"
"LYNX TECHNOLOGIES","2323","SUP999"
"PANASONIC BUSINESS SYSTEMS","2324","SUP216"
"ELECTRO X ZIMBABWE","2327","SUP442"
"AMOR CHRISTIAN TRADE","2328","SUP381"
"THE LEGACY CAR RENTAL","2329","SUP245"
"IMPALA CAR RENTALS","2330","SUP686"
"ESCORTED TRAVEL COMPANY","2331","SUP505"
"UNIQUE TRAVEL","2332","SUP154"
"CHIPSHOW TOURS","2333","SUP721"
"LADY EDITH WHOLESALERS","2338","SUP780"
"SPS GROUP PVT ","2339","SUP472"
"IDEAL MEDICALS","2340","SUP656"
"EXECUTIVE FIRE ENGINEERING CONSULTANTS","2343","SUP795"
"ADALET FIRE ENGINEERS","2345","SUP345"
"FASHAM SERVICES T/A REGEN OIL","2350","SUP633"
"TARISCO MEDIA","2351","SUP40"
"MATCHMO MEDIA","2353","SUP419"
"QUEMEDIA","2373","SUP895"
"ANDREPACK INVESTMENTS","2374","SUP202"
"FAST FOTO & DIGITAL ","2375","SUP788"
"ALPHAHOPE PVT LTD","2389","SUP9"
"E STYLE","2391","SUP959"
"BUSINESS PACK","2392","SUP427"
"FRADEL","2395","SUP438"
"BOLAVILE MARKETING","2396","SUP609"
"CHRIS & JACOB UPHOLSTERY","2403","SUP103"
"BEARIS","2405","SUP572"
"INTELLE BUILD","2406","SUP68"
"BATMAN TRADING","2407","SUP548"
"BEST PRACTICE","2412","SUP681"
"ZELIG INCORPORATED","2433","SUP996"
"BOREHOLE CLINIC","2443","SUP624"
"DRILLFLOW INVESTMENTS","2445","SUP614"
"HUSSMAN AIR COOL","2446","SUP846"
"DRENEL DISTRIBUTORS","2448","SUP580"
"AIRHEAD INVESTMENTS","2450","SUP8"
"CALPHIL INVESTMENTS","2451","SUP706"
"ASTROPEC ENTERPRISES","2452","SUP488"
"CLEAR HUE INVESTMENTS","2453","SUP668"
"MAKMART PVT LTD","2454","SUP585"
"ZEBTECH ENTEPRISES","2466","SUP974"
"COLORTEQ ADVERTISING","2501","SUP211"
"TRADOM PVT LTD","2506","SUP542"
"POWERZONE GLOBAL","2508","SUP134"
"MASSIVE STRIDES INVESTMENTS","2515","SUP243"
"RAINBOW CERAMICS","2518","SUP838"
"COMPULINK","2554","SUP380"
"RANGANAI RESOURCES","2557","SUP799"
"ULTRAFINE BOREHOLE DRILLING","2559","SUP267"
"GST ENGINEERING ","2564","SUP317"
"ESTATE KINGS","2585","SUP297"
"FASTEN PEST SERVICES","2587","SUP364"
"COMRITE MARKETING","2614","SUP383"
"AGANANG GROUP","2623","SUP188"
"ESHIPEL","2624","SUP932"
"PROCAD CONSTRUCTION ","2642","SUP747"
"STRUQTON STRUCTUAL","2645","SUP497"
"CLEMSAM CONSTRUCTION SOLUTION","2646","SUP816"
"MATIZ CONSTRUCTION","2647","SUP1000"
"EL -ESHWARD","2674","SUP589"
"LMT ENTERPRISES","2675","SUP600"
"WESTLES INCREDIBLE TECHNOLOGY","2676","SUP781"
"CLEANSSIT INVESTMENTS ","2684","SUP958"
