"supplier","id","sup_id"
"Plenthope Invest.","835","SUP824"
"Ammavin Trading","836","SUP950"
"Plenthope Investments","838","SUP700"
"CloverLeaf Motor Group","843","SUP598"
"Bospat Investments P/L","844","SUP600"
"Elath Investments","863","SUP584"
"FIMBRIATE IT SOLUTIONS","883","SUP728"
"FARNIC INVESTMENTS","884","SUP951"
"ZIM OFFICE SUPPLIES","885","SUP814"
"SYNETECH","886","SUP740"
"ELEGANT EDGE","887","SUP947"
"ZIM REFLECTIVE","892","SUP878"
"Mervile Knitwear","893","SUP707"
"Uplands Holdings","894","SUP934"
"Drakeburg Hardware","895","SUP362"
"Estyle","896","SUP628"
"Dawnwise","897","SUP379"
"Shepco Industrial Supplies","898","SUP159"
"AQUA SAFETY","899","SUP620"
"Digital World Printers","900","SUP856"
"Earlysave Trading","901","SUP753"
"Ashwill Investments","906","SUP958"
"GM Motor ","909","SUP676"
"Berton Investments","910","SUP596"
"BRUTAMINE","919","SUP315"
"Manemwe Buses and Trucks ","943","SUP695"
"Swisstrans Enterprises","944","SUP751"
"Manyemwe Buses and Trucks","945","SUP664"
"Manyemwe","955","SUP194"
"GROOVEYARD TECHNOLOGIES","1015","SUP780"
"Bitumen Resources","1018","SUP834"
"Digital Smart Catalogue","1019","SUP631"
"EARLYSAVE","1033","SUP488"
"ELEGANT","1034","SUP463"
"PROMINANT","1035","SUP818"
"DRAKEBURG","1038","SUP850"
"MERVILE","1039","SUP777"
"PLENTHOPE","1040","SUP111"
"LEYWILL","1052","SUP683"
"ESTLYE","1090","SUP940"
"Welllod","1110","SUP877"
"FICTECH PRIVATE LIMITED","1116","SUP42"
"PUMPNET SYSTEMS","1118","SUP395"
"MOTOR SALES AND AGENCIES","1120","SUP456"
"Stochack Trading","1134","SUP272"
"SHAMLONG TRADING","1138","SUP782"
"Swingtone Enterprises","1148","SUP791"
"PROWESS TECHNOLOGIES","1156","SUP965"
"RAELMORGEN ENTERPRISES","1157","SUP40"
"DIRECT EQUIPMENT","1158","SUP389"
"MINDSPARK MARKETING PVT LTD","1159","SUP811"
"Supreme clothing","1162","SUP924"
"JMCD ENTERPRISES","1171","SUP60"
"OLWETHU INVESTMENTS","1173","SUP841"
"LEC BIOTEC","1174","SUP619"
"HEALTH PHARM(PVT)LTD","1175","SUP979"
"TANIETECH HARDWARE","1188","SUP373"
"DIRECT EQUIPMENT SUPPLIES","1191","SUP141"
"KHAYALAMI TECHNOLOGIES","1204","SUP692"
"Innovative Technologies","1205","SUP645"
"PROMRUN HOLDINGS","1210","SUP510"
"LESSHAPE INVESTMENTS","1215","SUP635"
"PEEL BRANDS","1218","SUP178"
"SEITHWISE  INVESTMENTS","1236","SUP892"
"MEDLIVE MARKETING","1237","SUP690"
"PEEL BRANDS PVT LTD","1240","SUP681"
"Combined Technologies","1241","SUP643"
"TYRE  CLUB FITMENT CENTRE","1244","SUP519"
"Coar Signs Engraving","1250","SUP296"
"Quantic Global","1253","SUP907"
"ADCRIS","1258","SUP514"
"PG Building Supplies","1264","SUP882"
"DRADFEN INVESTMENTS","1265","SUP987"
"BRADFEN INVESTMENTS","1267","SUP493"
"Seithwise Investments","1290","SUP132"
"UNIBURRY INVESTMENTS","1293","SUP698"
"COLLINS HYDRAULICS","1322","SUP497"
"OLALEX TRADING","1361","SUP936"
"ELATH","1378","SUP717"
"CALTHBURY","1381","SUP147"
"MOENI ENTERPRISES (PVT) LTD","1398","SUP234"
"ALPHAHOPE","1408","SUP795"
"Innovate Industrial Safety Solutions","1421","SUP890"
"Hallmark Trading","1422","SUP221"
"Goltman Investments","1426","SUP75"
"REGAL FURNISHERS","1429","SUP438"
"Wollatham Enterprises","1432","SUP918"
"Radiation Incoporated","1433","SUP806"
"TOUCHSTONE INVESTMENTS","1438","SUP613"
"Travel Trading","1439","SUP270"
"DIVINE CHEMICALS","1440","SUP939"
"ROOM ENOUGH PVT LTD","1441","SUP876"
"GERN FREE CLEANING SERVICES","1442","SUP301"
"Traversal Trading","1444","SUP17"
"RM Hardware East","1445","SUP357"
"GERM FREE CLEANING SERVICES","1448","SUP268"
"Devine Chemicals","1449","SUP869"
"FELDOM","1450","SUP346"
"BOTTIES","1452","SUP126"
"Marine Valley Solutions","1453","SUP754"
"HEDGEPATH INVESTMENTS","1456","SUP527"
"Chengetanayi P\L","1466","SUP269"
"RANK","1467","SUP314"
"Brutamine Enterprises","1474","SUP748"
"Radiation Incorporated","1478","SUP759"
"TIT motor spares","1480","SUP568"
"QUONTRAC ENTERPRISES","1486","SUP726"
"BOOTIES PHARMACIES","1487","SUP827"
"Staman Investments","1495","SUP804"
"IMOGEN","1496","SUP500"
"IMPALA MOTOR SPARES","1499","SUP116"
"SEALTEK","1501","SUP213"
"Rukkav investments","1508","SUP854"
"Jeremy Healthcare","1511","SUP216"
"CLINITESTS PVT LTD","1513","SUP306"
"ALLEGIANCE ENGINEERING","1514","SUP684"
"CLEARDEAN PROPERTY CLEANERS","1517","SUP902"
"Covenant printers","1530","SUP946"
"Mimarsh Media","1531","SUP581"
"Royal Ragusa Services","1532","SUP416"
"Pastel Contractors","1551","SUP614"
"Adroit Incorporation","1554","SUP430"
"Chryterium Medical Supplies","1555","SUP30"
"Crypterium","1557","SUP322"
"Petraz Investments","1558","SUP140"
"Matkud Private Limited","1559","SUP93"
"MAGYK Systems","1561","SUP677"
"Phreatic Zone","1563","SUP66"
"Flannex Investments","1570","SUP167"
"TIMTAT Investments","1571","SUP320"
"Fiable Medical Solutions","1572","SUP171"
"Sustainable Procurement Solutions","1573","SUP962"
"Electrosearch","1574","SUP960"
"AFFINIX  CHEMICALS","1577","SUP308"
"ALL CLEAN","1578","SUP612"
"Innovative Tower Incorporation","1581","SUP588"
"Teechers home and office","1587","SUP11"
"Currentwish Investments","1600","SUP57"
"Net Technologies","1602","SUP293"
"Predarlen PBC","1607","SUP722"
"ZIMUE MEDIA","1611","SUP669"
"REKEREG INVESTMENTS","1612","SUP36"
"In Out Investments","1614","SUP433"
"CAFCA","1616","SUP413"
"Elvan Incorporation","1617","SUP200"
"OK MART","1618","SUP50"
"Teecherz home and office","1620","SUP468"
"Maksheb Engineering","1623","SUP572"
"Tradesouth Investments","1634","SUP475"
"Onestop Distribution Centre","1635","SUP188"
"TYRETECH","1640","SUP573"
"TOWNSET INVESTMENTS","1657","SUP484"
"Betterfog Investments","1659","SUP816"
"ELECTROLYTE CONSTRUCTION","1662","SUP744"
"Great Strippes Investments","1667","SUP544"
"AVONEY","1673","SUP576"
"Drumcity (Pvt) Ltd","1674","SUP134"
"Pure Chemicals (Pvt) Ltd","1675","SUP956"
"Avoney Enterprises","1676","SUP829"
"Petrolnet ","1677","SUP189"
"Quartile Healthcare","1680","SUP368"
"Belgravia Medicals ","1681","SUP95"
"HealthPharm Pvt Ltd","1682","SUP101"
"ROYMARSHALL  ENTERPRISES","1683","SUP536"
"TOP EDGE MEDICAL SUPPLIES","1686","SUP862"
"NEWAVAKASH INTERNATIONAL","1687","SUP388"
"MAVECHIC INVESTMENTS","1688","SUP670"
"CHEMODRAS","1689","SUP633"
"NEW AVAKASH INTERNATIONAL","1692","SUP705"
"ALCARE ENTERPRISES","1695","SUP150"
"CLEAN BOX","1697","SUP431"
"Lisenta Hygiene Products and Services","1700","SUP224"
"Blue Dreems Investments","1701","SUP275"
"COROMED (PVT) Ltd","1702","SUP844"
"Kusi Chemicals","1703","SUP839"
"Shechelle Investments","1704","SUP253"
"INPAN ENTERPRISES","1707","SUP122"
"LAST PACK TECHNOLOGY ","1708","SUP505"
"CUTBUS","1710","SUP10"
"VUPRAN LOGISTICS","1711","SUP462"
"P&C ENTERPRISES","1712","SUP32"
"Industrial lighting","1714","SUP675"
"WERKSTATT","1717","SUP659"
"TRUECAR PARTS","1720","SUP444"
"VEHICLES UNLIMITED","1721","SUP929"
"Goldenbay Motor spares","1722","SUP83"
"SKYKING","1723","SUP180"
"PERTHLIGHT INVESTMENTS","1726","SUP738"
"HAGAN AND HILL","1727","SUP146"
"Mutare real estate","1728","SUP412"
"DUTAN ENGINEERING","1729","SUP70"
"Eulone Investments","1732","SUP564"
"Seithwise Medical","1733","SUP730"
"AGRISOFT AFRICA VENTURES","1734","SUP326"
"KENCOTE  TRADING","1735","SUP906"
"TOUGH TIGER","1736","SUP797"
"Satewave Technologies","1739","SUP469"
"Shalbone Investments","1740","SUP823"
"Leeshape Investments","1742","SUP34"
"PREVMAT INVESTMENTS","1751","SUP535"
"Coffel ICT Solutions","1752","SUP12"
"Office International","1757","SUP14"
"FENSATE INVESTMENTS","1762","SUP428"
"asd","1763","SUP972"
"qwe","1764","SUP706"
"zxc","1765","SUP679"
"qwerr","1766","SUP978"
"INNET TECHNOLOGIES","1778","SUP627"
"Stanmec Investment","1782","SUP334"
"Flatbridge Medical","1787","SUP170"
"FUSER TECHNOLOGIES","1793","SUP980"
"Kapslocke","1794","SUP217"
"NEMCHEM MUTARE","1797","SUP280"
"Millantus Enterprises","1799","SUP583"
"Stanmec Investments","1800","SUP911"
"klerberson Safety Products","1801","SUP885"
"Discount Chemicals","1802","SUP551"
"Smartpave Investments","1803","SUP345"
"Earthpillar Trading","1804","SUP387"
"Nemchem Harare","1805","SUP186"
"Brand impressions","1806","SUP248"
"MALAKAI MEDIA","1807","SUP826"
"Unitech Solutions","1810","SUP887"
"TRIPLE TEE FOOTWEAR","1821","SUP923"
"WETHERGATE INVESTMENTS","1822","SUP467"
"BRENTLEIGH","1823","SUP688"
"General Fire Protection Engineering","1825","SUP942"
"OLMA FIRE PROTECTION SERVICES","1826","SUP873"
"ADALET FIRE ENGINEERS","1827","SUP445"
"TRUST FIRE SERVICES","1828","SUP870"
"Century Electrical","1831","SUP913"
"Msizi Block (PVT) Ltd","1836","SUP437"
"Gladprim Investments (pvt) Ltd","1838","SUP724"
"BEN DEFENCE","1852","SUP261"
"CYBER VISION NETWORKS","1854","SUP849"
"SIXSPEED TECH SYSTEMS","1855","SUP559"
"Mount Sinai Properties","1858","SUP976"
"Bornflower Investments","1859","SUP900"
"Collide Enterprises","1870","SUP969"
"Easycare Surgical Supplies","1871","SUP354"
"FAMCHEM PRIVATE LIMITED","1872","SUP656"
"Soprano Medical and Pharmaceutical","1873","SUP819"
"Daybreak Investments","1874","SUP43"
"Rennuel Investments","1875","SUP649"
"HEADBOLLS","1876","SUP343"
"PELLNY INVESTMENTS","1877","SUP771"
"Best Comforts Holdings","1880","SUP831"
"BUCKSTILE TRADING","1881","SUP355"
"JMK Medical Supplies","1882","SUP175"
"Clean Up Detergents","1885","SUP396"
"ANSAD MEDICAL CONSUMABLES","1886","SUP417"
"Unifencing Solutions","1893","SUP82"
"Survival Hardware","1894","SUP196"
"Hangfive Construction","1895","SUP449"
"ALLIED FIRE AUTHORITY","1900","SUP74"
"TRENTYRE","1902","SUP786"
"PROTYRE","1903","SUP242"
"GRIPLINE TYRES","1905","SUP921"
"ALLIED FIRE TECHNICIANS","1908","SUP81"
"ROTHKOS FIRE ENGI                                                                                                                                                                                                                                 ROTHKOS FIRE ","1909","SUP988"
"EFFICIENT FIRE EQUIPMENT","1910","SUP733"
"ULTIMATE FIRE PROTECTION","1911","SUP204"
"ABC FIRETECH","1919","SUP507"
"Fulfilment Investment","1953","SUP607"
"HERITAGE OIL","1958","SUP263"
"DASSIN ENTERPRISES","1961","SUP480"
"LAWCHA ELETRICAL","1964","SUP639"
"DAVENNEY INVESTMENTS","1965","SUP108"
"HYRA","1968","SUP838"
"ARAVAS PHARMACEUTICALS","1970","SUP383"
"Loftex technology","1975","SUP589"
"OVACODA BUSINESS SOLUTIONS","1982","SUP993"
"Market Plan","1983","SUP68"
"HYDRA","2000","SUP155"
"ESTYLE CORPORATE GIFTS AND BRANDING","2037","SUP491"
"APPOINTMENT CORPORATE ZIMBABWE","2038","SUP290"
"BREYFRED INVESTMENTS (PVT) LTD","2044","SUP530"
"GREATMOON ENTERPRISES","2055","SUP89"
"ADPRO MARKETING","2066","SUP997"
" ADPRO MARKETING","2068","SUP847"
"TEPO INDUSTRIAL SERVICES","2069","SUP763"
"QUEST MOTORS","2070","SUP370"
"ROYALMOUNT ENGINEERING","2074","SUP156"
"Data Copy","2083","SUP154"
"Sameland Computers","2091","SUP453"
"Afrique Serv Enterprises","2097","SUP259"
"Rodirsty International","2099","SUP238"
"Creative space","2100","SUP424"
"Supply Ride Investments","2102","SUP800"
"CENTURY TECHNOLOGY","2108","SUP973"
"TREMUL","2109","SUP230"
"MAKMART","2110","SUP183"
"RENKOO TRADING ","2146","SUP555"
"CHECKERS HOME & OFFICE","2153","SUP901"
"WORKMATE FURNITURES","2155","SUP247"
"REGAL FURNITURES","2156","SUP851"
"CRESSCHEM HYGIENE PRODUCTS","2158","SUP778"
"WESTLES HOME AND OFFICE","2162","SUP810"
"VATEM OFFICE STYLE","2165","SUP592"
"EULONE (PVT) LTD","2198","SUP46"
"PETROLNET (PVT) LTD","2202","SUP19"
"PIRATOP ENTERPRISES (PVT) LTD","2214","SUP273"
"MELOMAK","2219","SUP302"
"Unelda Investment","2222","SUP903"
"Clamise Enterprises","2224","SUP916"
"ATLANTA DRILLING","2234","SUP708"
"NAKISO BOREHOLE DRILLING","2236","SUP567"
"Electrosales","2241","SUP761"
"Daybreak Investments (PVT) LTD","2245","SUP304"
"ZARGI CONSTRUCTION","2246","SUP369"
"KALTRADE (PVT)LTD","2249","SUP8"
"FEBRITE (PVT) LTD","2264","SUP624"
"PLENTHOPE INVESTMENTS (PVT) LTD","2282","SUP88"
"ROOTS SERVICES (PVT) LTD","2283","SUP102"
"TOUGH TIGER (PVT) LTD","2284","SUP948"
"YELLOW PORTION INVESTMENTS (PVT) LTD","2287","SUP641"
"TARDEN MARKETING (PVT) LTD","2288","SUP28"
"ALL POWER ENINEERING (PVT) LTD","2291","SUP37"
" YELLOW PORTION INVESTMENTS P/L","2306","SUP646"
"DIGI VOICE TECHNOLOGIES","2312","SUP868"
"GARAQUIP P/L","2314","SUP897"
"MULTIPLUS ELECTRICAL","2341","SUP898"
"SWIFT PRINT MEDIA & COMMUNICATIONS","2342","SUP606"
"VENETIAN BLINDS P/L","2344","SUP67"
"NATIONAL BLINDS EXPRESS P/L","2345","SUP228"
"CALTRON INVESTMENTS (PVT) LTD","2353","SUP653"
"OIL CENTRE","2356","SUP86"
"FLEXISHUT ENGINEERING SOLUTIONS (PVT) LTD","2359","SUP770"
"DESTAT ENGINEERING","2361","SUP815"
"Rodirsty International (PVT) LTD","2364","SUP53"
"SUN STOP BLINDS (PVT) LTD","2365","SUP945"
"TOTEM PRIDE","2367","SUP663"
"PALLAND VALLEY ENTERPRISES T/A CREATIVE GIFTS","2368","SUP498"
"CLOTHING EMPORIUM","2369","SUP769"
"Lit Colours","2370","SUP201"
"Altiscope","2371","SUP215"
"Topmind Pvt Ltd","2372","SUP455"
"Tanyil Fashions","2373","SUP735"
"Blue Butterfly Pvt Ltd","2375","SUP543"
"MUNNEX CORPORATE SYSTEM","2376","SUP65"
"EZARD CONTRACTORS","2377","SUP996"
