"document_id","item_required","qty","uom","id"
"RQ19102280","215R15 new tyres for er2145 np300","2","each","1680"
"RQ19102233","4 Plate Stove","1","each","1681"
"RQ19102281","Bar Fridge","1","each","1682"
"RQ19102217","Corsages","187","each","1683"
"RQ19102344","80A Toner Cartridge","1","each","1684"
"RQ19102362","new tyres size 245/70R15 for f/n er2095 for Nyanga","5","each","1685"
"RQ1910231","new tyres for er2123 size 205/70/R15","5","each","1686"
"RQ19102374","long sleeve leather gloves","100","each","1687"
"RQ1910238","Uninterrupted Power Supply Unit (UPS)","2","each","1688"
"RQ19102330","cement 32.5","100","each","1689"
"RQ19102380","common bricks","3000","each","1690"
"RQ19102324","round steel","18","each","1691"
"RQ19102376","concrete roof tiles and ridges","840","each","1692"
"RQ19102313","diesel air filter z425","15","each","1693"
"RQ19102313","diesel filter z219","15","each","1694"
"RQ19102313","oil filter z95","15","each","1695"
"RQ19102313",,"0","each","1696"
"RQ19102346","Air filter for np300 2 wheel drive ADG 8652793","15","each","1697"
"RQ19102365","front shocks np300 2 wheel drive","15","each","1698"
"RQ19102365","rear shocks np300 2 wheel drive","15","each","1699"
"RQ19102365","lower ball joints np300 2 wheel drive","15","each","1700"
"RQ19102365","upper ball joints np300 2 wheel drive","15","each","1701"
"RQ19102365","fan belts","15","each","1702"
"RQ19102835","New Canopy","1","each","1703"
"RQ19102813","New Canopy","1","each","1704"
"RQ19102827","New Canopy","1","each","1705"
"RQ19102845","New Canopy","1","each","1706"
"RQ19102891","New Canopy","1","each","1707"
"RQ19102839","New Canopy","1","each","1708"
"RQ1910288","New Canopy","1","each","1709"
"RQ19102879","New Canopy","1","each","1710"
"RQ19102826","New Canopy","1","each","1711"
"RQ19102861","New Canopy","1","each","1712"
"RQ19102894","Wage envelopes for packaging of payslips ","1000","each","1713"
"RQ19102949","7 tone truck owner driven","1","each","1714"
"RQ19102952","7 tone crane owner driven","1","each","1715"
"RQ19103013","9M WOOD POLE DIA 140-180MM","250","each","1716"
"RQ19103019","50mm SCA","6000","metres","1717"
"RQ19103047","11M WOOD POLE DIA 140-180MM","350","each","1718"
"RQ19103051","7/12 Stay wire","1000","metres","1719"
"RQ19103057","7/8 Stay wire","1000","metres","1720"
"RQ19103092","12.6M WOOD POLE DIA 140-180MM","150","each","1721"
"RQ19103046","33kv pin Insulators & Insulator pins","180","each","1722"
"RQ19103026","Fibre Bracing straps","300","each","1723"
"RQ19103065","33 Kv Wood crossarms","150","each","1724"
"RQ19103096","11kv Wood crossarms","120","each","1725"
"RQ19103058","Galvanised bracing straps","240","each","1726"
"RQ19103016","11kv Pin Insulators complete with Insulator pins","90","each","1727"
"RQ19103036","Disc Insulators ","200","each","1728"
"RQ19103028","11kv Wood poles","100","each","1729"
"RQ19103023","12.6metre wood poles","180","each","1730"
"RQ19103054","1 tone truck owner driven","2","each","1731"
"RQ19103060","9 M wood ploes","250","each","1732"
"RQ19103060","11 M wood poles","350","each","1733"
"RQ19103060","12.6 M wood poles","150","each","1734"
"RQ19103085","purchase of new tyres 245/75R16 for Toyota Land Cruiser f/n er2076","5","each","1735"
"RQ19103138","Roller Brushes","2","each","1736"
"RQ19103138","Paint Scrappers ","2","each","1737"
"RQ19103138","Small Hand Brush ","2","each","1738"
"RQ19103138","Wire Brush","1","each","1739"
"RQ19103138","5L Thinners ","2","each","1740"
"RQ19103138","2kg Matton Cloth roll","1","each","1741"
"RQ19110467","bedroom suites","1","each","1742"
"RQ1911047","dining room suite","1","each","1743"
"RQ19110487","dining room suite","1","each","1744"
"RQ19110461","king size bed","1","each","1745"
"RQ19110415","timber 114*38*15lenght 1kg, 3inch wire nail 1kg 4inch wire nails Undercoat 2 litres gloss white 2liters turps750 mils 1 box self tapping screws 0.5*32mm","1","each","1746"
"RQ19110483","40*6INCH MATTRESSES FOR RUSAPE CAMPING EMPLOYEES","1","each","1747"
"RQ19110585","175/70R13 tyres","5","each","1748"
"RQ19110596","Till Rolls","150","each","1749"
