"document_id","rfq_date","scope_of_work","closing_date","closing_time","rfq_no","advert","pr_number","pr_date","tender_opened","tac_date","region"
"TD23032235","2023-03-17"," LINE MATERIALS FOR CB109 MTHD MAINTENANCE REF STF 3021342 MBN","2023-03-21","10:00","10246287","adverts/Xerox Scan_22032023142323.PDF","acc404086","2023-03-17","2023-03-21","2023-03-22","harare"
"TD23032237","2023-03-16"," BOARD MV 8-WAY - FOR DZIVARASEKWA FLATS REF ASSET NO 130000231224 STF 2661770 KUWADZANA DEPOT","2023-03-21","10:00","RE10218027","adverts/Xerox Scan_22032023080012.PDF","acc404088","2023-03-16","2023-03-21","2023-03-22","harare"
"TD2303225","2023-03-15"," WEED KILLER GRANULAR- FOR CHITUNGWIZA DISTRICT","2023-03-20","10:00","10245108","adverts/Xerox Scan_22032023075446.PDF","acc404088","2023-03-15","2023-03-20","2023-03-22","harare"
"TD23032252","2023-03-15"," INSULATORS POLYMER STRING REQUIRED FOR OPS REF STF 3007610","2023-03-20","10:00","10245184","adverts/1679482360Xerox Scan_22032023074635.PDF","acc404088","2023-03-15","2023-03-20","2023-03-22","harare"
"TD23032256","2023-03-10"," MV BOARD 8 WAY FOR S/S 2855  BUDIRIRO REF STF 3012705","2023-03-15","10:00","10245621","adverts/Xerox Scan_16032023140724.PDF","acc404088","2023-03-10","2023-03-15","2023-03-22","harare"
"TD23032262","2023-03-17"," LINE MATERIALS FOR CB109 MTHD MAINTENANCE REF STF 3021342 MBN","2023-03-21","10:00","10246286","adverts/Xerox Scan_22032023142127.PDF","acc404086","2023-03-17","2023-03-21","2023-03-22","harare"
"TD23032263","2023-03-13","FUSE LUCY POLE & ZIG ZAG FOR S/S 457 , S/S 5416 AND S/S 347 REF STF 3019040 WARREN PARK","2023-03-15","10:00","10246092","adverts/Xerox Scan_22032023074934.PDF","acc404088","2023-03-13","2023-03-15","2023-03-22","harare"
"TD23032269","2023-03-10","METAL CLAD STEEL S/S KIOSK STF 3013752  MABVUKU S/S 3374 FAULT","2023-03-15","10:00","RE10245572","adverts/Xerox Scan_16032023142634.PDF","acc404088","2023-03-10","2023-03-15","2023-03-22","harare"
"TD23032271","2023-03-16"," METAL CLAD STEEL SUBSTATION  KIOSK - FOR S/S 446 ZENGEZA 1 MHUNGU CRESCENT ZENGEZA DEPOT","2023-03-21","10:00","RE10240169","adverts/Xerox Scan_22032023080301.PDF","acc404088","2023-03-16","2023-03-21","2023-03-22","harare"
"TD23032281","2023-03-13"," WIRE GALV STAY 45 TON 7/12"""""""" STRAIN"" FOR PREPAYMENT METER AND LOOPED SERVICES MATERIAL","2023-03-16","10:00","10245792","adverts/1679494007Xerox Scan_16032023142325.PDF","acc404086","2023-03-13","2023-03-16","2023-03-22","harare"
"TD23032287","2023-03-08","CARTRIDGES HP55A & HP05 STOCK REPLENISHMENT","2023-03-13","10:00","10245825","adverts/Xerox Scan_22032023141932.PDF","acc473000","2023-03-08","2023-03-13","2023-03-22","harare"
"TD23033015","2023-03-13"," INSUL.STAY SA/ PORCELAIN 1015A H.T 11/33KV PREPAYMENT METER AND LOOPED SERVICES MATERIAL","2023-03-16","10:00","10245968","adverts/Xerox Scan_29032023084846.PDF","acc404085","2023-03-13","2023-03-16","2023-03-30","harare"
"TD23033074","2023-03-13"," INSULATION TAPE PVC BLACK ADHESIVE PREPAYMENT METER AND LOOPED SERVICES MATERIAL","2023-03-16","10:00","10245963","adverts/Xerox Scan_29032023085734.PDF","acc404085","2023-03-13","2023-03-16","2023-03-30","harare"
"TD23033118","2023-03-27"," CABLE PVC INSULATED 4C X 70 MM2 CU SWA  STF 2986024 KUWADZANA S/S 1196 CROWBROUGH WAY","2023-03-29","10:00","10243548","adverts/Xerox Scan_30032023145527.PDF","acc404085","2023-03-27","2023-03-29","2023-03-31","harare"
"TD23033143","2023-03-27","CABLE INSULATED 4C X 70 MM2 CU SWA STF 2986050 KUWADZANA DEPOT S/S 3612 DZIVARASEKWA 2","2023-03-29","10:00","10243546","adverts/Xerox Scan_30032023145644.PDF","acc404085","2023-03-27","2023-03-29","2023-03-31","harare"
"TD23033172","2023-03-28"," TAPE SCOTCH FILLED PUTTY  REQUIRED FOR CBD REF STF 3029912","2023-03-30","10:00","10247002","adverts/Xerox Scan_30032023144510.PDF","acc404085","2023-03-28","2023-03-30","2023-03-31","harare"
"TD23033186","2023-03-28"," IRON D-3.5 SHACKLE TYPE INSUL DWG ,INSUL SHACKLE 78MM DIA 64MM HIGH PORCEL REQUIRED FOR CBD REF STF 3029925","2023-03-30","10:00","10247003","adverts/Xerox Scan_30032023145118.PDF","acc404085","2023-03-28","2023-03-30","2023-03-31","harare"
"TD2304111","2023-03-29"," Magnetic stickers for Hired Vehicles","2023-04-03","10:00","10245514","adverts/Xerox Scan_06042023135510.PDF","acc473210","2023-03-29","2023-04-03","2023-04-11","harare"
"TD23041110","2023-03-24"," CONTROLLERS INSTRUCTION FORMS FOR STOCK REPLENISHMENT","2023-03-28","10:00","RE10245529","adverts/Xerox Scan_06042023140854.PDF","acc466605","2023-03-24","2023-03-28","2023-04-11","harare"
"TD23041111","2023-04-05","TRENCHING CB 59 KOPJE TO S/S 3351 UGC 40M  CBD DEPOT","2023-04-06","10:00","10244641","adverts/Xerox Scan_06042023140256.PDF","acc404088","2023-04-05","2023-04-06","2023-04-11","harare"
"TD23041116","2023-03-30"," MV BOARD 8 WAY FOR  KUWADZANA S/S 1248 MUUNGA RD REF STF 2960836","2023-04-03","10:00","10242482","adverts/Xerox Scan_06042023142326.PDF","acc404088","2023-03-30","2023-04-03","2023-04-11","harare"
"TD2304112","2023-03-24"," FUSE KUCY POLE & ZIZ-ZAG FOR S/S 457 , S/S 5416 AND S/S 347 REF STF 3019040 WARREN PARK","2023-03-28","10:00","RE10246092","adverts/Xerox Scan_06042023142440.PDF","acc404088","2023-03-24","2023-03-28","2023-04-11","harare"
"TD23041124","2023-04-05"," TRENCHING CB 29 MARKET SQUARE & S/S 2538  150M  FOR CBD DEPOT","2023-04-06","10:00","10247243","adverts/Xerox Scan_06042023135952.PDF","acc404088","2023-04-05","2023-04-06","2023-04-11","harare"
"TD23041129","2023-03-30"," MV BOARD FOR KUWADZANA S/S 1196 MUZHANJE REF  STF 2960835","2023-04-03","10:00","10242480","adverts/Xerox Scan_06042023141905.PDF","acc404088","2023-03-30","2023-04-03","2023-04-11","harare"
"TD23041130","2023-03-29"," Removable Stickers of Each month of the year (January to December) removable as per sample (360 for each moth total 4320 individual stickers.)","2023-04-03","10:00","10245513","adverts/Xerox Scan_06042023135558.PDF","acc473210","2023-03-29","2023-04-03","2023-04-11","harare"
"TD23041136","2023-04-05","TRENCHING  CB 99 KOPJE 11KV UGC BTWN S/S 12 & S/S 3771 30M CBD DEPOT","2023-04-06","10:00","10247306","adverts/Xerox Scan_06042023135644.PDF","acc404088","2023-04-05","2023-04-06","2023-04-11","harare"
"TD23041139","2023-03-30","TRENCHING CB 39 MBARE CABLE FAULT  OVER EXISTING CABLE 20M NORMAL GROUND AND 4 JOINT HOLES","2023-03-30","10:00","10247084","adverts/Xerox Scan_06042023141454.PDF","acc404088","2023-03-30","2023-03-30","2023-04-11","harare"
"TD23041148","2023-04-04"," FUSE LUCY POLE FOR S/S 1191 MUFAKOSE REF STF 2988769  KUWADZANA","2023-04-06","10:00","10243870","adverts/Xerox Scan_06042023135817.PDF","acc404088","2023-04-04","2023-04-06","2023-04-11","harare"
