,document_id,sup_id,model,status,message
795,D2208109, ,DPApproval,Failed,GM DB finance_user empty
796,D22081099,ze296538,Committee,Success,SUCCESS
797,D22081099,ze309702,Committee,Success,SUCCESS
798,D22081099, ,DPApproval,Failed,DB finance_user empty
799,D22081099, ,DPApproval,Failed,GM DB finance_user empty
800,D22081118,ze296538,Committee,Success,SUCCESS
801,D22081118,ze309702,Committee,Success,SUCCESS
802,D22081118, ,DPApproval,Failed,DB finance_user empty
803,D22081118, ,DPApproval,Failed,GM DB finance_user empty
804,D22081151,ze296538,Committee,Success,SUCCESS
805,D22081151,ze309702,Committee,Success,SUCCESS
806,D22081151, ,DPApproval,Failed,DB finance_user empty
807,D22081151, ,DPApproval,Failed,GM DB finance_user empty
808,D22081156,ze296538,Committee,Success,SUCCESS
809,D22081156,ze309702,Committee,Success,SUCCESS
810,D22081156, ,DPApproval,Failed,DB finance_user empty
811,D22081156, ,DPApproval,Failed,GM DB finance_user empty
812,D22081667,ze296538,Committee,Success,SUCCESS
813,D22081667,ze309702,Committee,Success,SUCCESS
814,D22081667, ,DPApproval,Failed,DB finance_user empty
815,D22081667, ,DPApproval,Failed,GM DB finance_user empty
816,D22081686,ze296538,Committee,Success,SUCCESS
817,D22081686,ze309702,Committee,Success,SUCCESS
818,D22081686, ,DPApproval,Failed,DB finance_user empty
819,D22081686, ,DPApproval,Failed,GM DB finance_user empty
820,D22081930,ze329223,Committee,Success,SUCCESS
821,D22081930,ze325650,Committee,Success,SUCCESS
822,D22081930, ,DPApproval,Failed,DB finance_user empty
823,D22081930, ,DPApproval,Failed,GM DB finance_user empty
824,D22082513,ze281875,Committee,Success,SUCCESS
825,D22082513,ze309702,Committee,Success,SUCCESS
826,D22082513, ,DPApproval,Failed,DB finance_user empty
827,D22082513, ,DPApproval,Failed,GM DB finance_user empty
828,D22082564,ze281875,Committee,Success,SUCCESS
829,D22082564,ze309702,Committee,Success,SUCCESS
830,D22082564, ,DPApproval,Failed,DB finance_user empty
831,D22082564, ,DPApproval,Failed,GM DB finance_user empty
832,D22082568,ze281875,Committee,Success,SUCCESS
833,D22082568,ze309702,Committee,Success,SUCCESS
834,D22082568, ,DPApproval,Failed,DB finance_user empty
835,D22082568, ,DPApproval,Failed,GM DB finance_user empty
836,D22082588,ze281875,Committee,Success,SUCCESS
837,D22082588,ze309702,Committee,Success,SUCCESS
838,D22082588, ,DPApproval,Failed,DB finance_user empty
839,D22082588, ,DPApproval,Failed,GM DB finance_user empty
840,D22082686,ze281875,Committee,Success,SUCCESS
841,D22082686,ze309702,Committee,Success,SUCCESS
842,D22082686, ,DPApproval,Failed,DB finance_user empty
843,D22082686, ,DPApproval,Failed,GM DB finance_user empty
844,D22082695,ze281875,Committee,Success,SUCCESS
845,D22082695,ze309702,Committee,Success,SUCCESS
846,D22082695, ,DPApproval,Failed,DB finance_user empty
847,D22082695, ,DPApproval,Failed,GM DB finance_user empty
848,D22083083,ze281875,Committee,Success,SUCCESS
849,D22083083,ze309702,Committee,Success,SUCCESS
850,D22083083, ,DPApproval,Failed,DB finance_user empty
851,D22083083, ,DPApproval,Failed,GM DB finance_user empty
852,D22090142,ze281875,Committee,Success,SUCCESS
853,D22090142,ze309702,Committee,Success,SUCCESS
854,D22090142, ,DPApproval,Failed,DB finance_user empty
855,D22090142, ,DPApproval,Failed,GM DB finance_user empty
856,D22090147,ze281875,Committee,Success,SUCCESS
857,D22090147,ze309702,Committee,Success,SUCCESS
858,D22090147, ,DPApproval,Failed,DB finance_user empty
